code,name,ruby,filename,urlString,
86,THREE LIGHTS DOWN KINGS,すりーらいつだうんきんぐす,threelightsdownkings,http://www.3ldk.jp/,
87,SWANKY DANK,すわんきーだんく,swankydank,http://www.swankydank.net/,
88,cero,せろ,cero,http://www.geocities.jp/cerofan/index.html,
89,TAKUMA(10-FEET),たくま（てんふぃーと）,takuma,http://www.10-feet.com/,1
90,竹原ピストル(ズ),たけはらぴすとるず,takeharapistols,http://www.office-augusta.com/pistol/,
91,dustbox,だすとぼっくす,dustbox,http://www.dustbox-web.com/,
92,THE TURTLES JAPAN,たーとるずじゃぱん,theturtlesjapan,http://www.theturtles.jp/,
93,タナシンドローム,たなしんどろーむ,tanashindrome,http://goodmorningamerica.jp/,1
94,TarO&JirO,たろーあんどじろー,taroandjiro,http://tarojiro.com/,
95,Czecho No Republic,ちぇこのーりぱぶりっく,czechonorepublic,http://c-n-r.jp/,
96,Czecho No Republic(DJ set),ちぇこのーりぱぶりっく（でぃーじぇーせっと）,czechonorepublicdjset,http://c-n-r.jp/,1
97,THE CHERRY COKE$,ちぇりーこーくす,thecherrycokes,http://www.thecherrycokes.jp/,
98,チームしゃちほこ,ちーむしゃちほこ,teamsyachihoko,https://team-syachihoko.jp/,
99,チャットモンチー,ちゃっともんちー,chatmonchy,http://www.chatmonchy.com/,
100,Chara x 韻シストBAND,ちゃらいんしすとばんど,charaxinsistband,http://charaweb.net/,
101,TM NETWORK,てぃーえむねっとわーく,tmnetwork,http://avex.jp/tm/,
102,DJダイノジ(大地洋輔),でぃーじぇーだいのじ（おおちようすけ）,djdienoji,http://www.dienoji.com/,1
103,DJやついいちろう(エレキコミック),でぃーじぇーやついいちろう(えれきこみっく),djyatsuiichiro,http://jvcmusic.co.jp/yatsui/,1
104,This is Not a Business,でぃすいずのっとあびじねす,thisisnotabusiness,http://thisisnotabusiness.com/,
105,DIR EN GREY,でぃるあんぐれい,direngrey,http://direngrey.co.jp/,
106,the telephones,てれふぉんず,thetelephones,http://thetelephones.net/,
107,電気グルーヴ,でんきぐるーぶ,denkigroove,http://www.denkigroove.com/,
108,でんぱ組.inc,でんぱぐみいんく,dempagumi,http://dempagumi.dearstage.com/,
109,10-FEET,てんふぃーと,10feet,http://www.10-feet.com/,
110,東京カランコロン,とうきょうからんころん,tokyokarankoron,http://tokyokarankoron.com/,
111,DOES,どーず,does,http://www.does-net.com/,
112,TOTALFAT,とーたるふぁっと,totalfat,http://www.totalfat.net/,
113,tofubeats,とーふびーつ,tofubeats,http://www.tofubeats.com/,
114,Dragon Ash,どらごんあっしゅ,dragonash,http://www.dragonash.co.jp/,
115,tricot,とりこ,tricot,http://tricot.tv/,
116,仲井戸”CHABO”麗市,なかいどちゃぼれいち,nakaidochaboreichi,http://www.up-down.com/020chabo/index0.html,
117,中田裕二,なかだゆうじ,nakadayuji,http://yujinakada.com/,
118,Nothing’s Carved In Stone,なっしんぐすかーぶどいんすとーん,nothingscarvedinstone,http://www.ncis.jp/,
119,NICO Touches the Walls,にこたっちずざうぉーるず,nicotouchesthewalls,http://www.nicotouchesthewalls.com/,
120,西村道男(Parade),にしむらみちお（ぱれーど）,nishimuramichio,http://nishimura-michio.com/,1
121,NEENEE,にーにー,neenee,http://www.neeneeneenee.com/,
122,ねごと,ねごと,negoto,http://www.negoto.com/,
123,Noise and milk,のいずあんどみるく,noiseandmilk,http://noiseandmilk.com/,
124,KNOCK OUT MONKEY,のっくあうともんきー,knockoutmonkey,http://knockoutmonkey.com/,
125,the HIATUS,はいえいたす,thehiatus,http://thehiatus.com/,
126,HUSKING BEE,はすきんぐびー,huskingbee,http://www.husking-bee.com/,
127,BUZZ THE BEARS,ばずざびーつ,buzzthebears,http://buzzthebears.com/,
128,パスピエ,ぱすぴえ,passepied,http://passepied.info/,
129,BACK DROP BOMB SPECIAL FORMATION SET,ばっくどろっぷぼむ,backdropbomb,http://backdropbomb.jp/,
130,back number,ばっくなんばー,backnumber,http://backnumber.info/,
131,HAPPY,はっぴー,happy,http://happyofficial.com/,
132,ハヤシヒロユキ(POLYSICS),はやしひろゆき(ぽりしっくす),hayashihiroyuki,http://www.polysics.com/,1
133,Hello Sleepwalkers,はろーすりーぷうぉーかーず,hellosleepwalkers,http://www.hellosleepwalkers.com/,
134,the band apart,ばんどあぱーと,thebandapart,http://www.asiangothic.org/the_band_apart/,
135,ピエール中野(凛として時雨),ぴえーるなかの(りんとしてしぐれ),pierenakano,http://www.sigure.jp/,1
136,PIGGY BANKS,ぴぎーばんくす,piggybanks,http://www.yokoyazawa.com/pc/piggy_banks,
137,ヒステリックパニック,ひすてりっくぱにっく,hystericpanic,http://www.hystericpanic.com/,
138,B-DASH,びーだっしゅ,bdash,http://www.b-dash.com/,
139,BIGMAMA,びっぐまま,bigmama,http://bigmama-web.com/,
140,ヒトリエ,ひとりえ,hitorie,http://www.hitorie.jp/,
141,People In The Box,ぴーぷるいんざぼっくす,peopleinthebox,http://www.peopleinthebox.com/,
142,phatmans after school,ふぁっとまんずあふたーすくーる,phatmansafterschool,http://phatmansafterschool.com/,
143,04 Limited Sazabys,ふぉーりみてっどさざびーず,04limitedsazabys,http://www.04limitedsazabys.com/,
144,フジファブリック,ふじふぁぶりっく,fujifabric,http://www.fujifabric.com/,
145,Fly or Die(マキタスポーツ),ふらいおあだいまきたすぽーつ,flyordie,http://info.flyordie.jp/,
146,The Flickers,ふりっかーず,theflickers,http://www.theflickers.net/,
147,BLUE ENCOUNT,ぶるーえんかうんと,blueencount,http://blueencount.jp/,
148,フレデリック,ふれでりっく,frederic,http://frederic-official.com/,
149,plenty,ぷれんてぃ,plenty,http://www.plenty-web.net/,
150,BOOM BOOM SATELLITES,ぶんぶんさてらいつ,boomboomsatellites,http://www.bbs-net.com/,
151,Base Ball Bear,べーすぼーるべあー,baseballbear,http://www.baseballbear.com/,
152,THE BAWDIES,ぼうでぃーず,thebawdies,http://thebawdies.com/,
153,星野 源,ほしのげん,hoshinogen,http://www.hoshinogen.com/,
154,POLYSICS,ぽりしっくす,polysics,http://www.polysics.com/,
155,WHITE ASH,ほわいとあっしゅ,whiteash,http://whiteash.jp/,
156,マキシマム ザ ホルモン,まきしまむざほるもん,maximumthehormone,http://www.55mth.com/,
157,真心ブラザーズ,まごころぶらざーず,magokorobros,http://www.magokorobros.com/,
158,沙田瑞紀(ねごと),ますだみずき（ねごと）,masudamizuki,http://www.negoto.com/,1
159,The Mirraz,みいらず,themirraz,http://the-mirraz.com/,
160,MEANING,みーにんぐ,meaning,http://www.meaning666.com/,
161,miwa,みわ,miwa,http://www.miwa-web.com/,
162,MERRY,めりー,merry,http://merryweb.jp/,
163,UL,ゆーえる,ul,http://www.ulstars.jp/,
164,UNISON SQUARE GARDEN,ゆにぞんすくえあがーでん,unisonsquaregarden,http://unison-s-g.com/,
165,RHYMESTER,らいむすたー,rhymester,http://www.rhymester.jp/,
166,RAM RIDER × TEMPURA KIDZ,らむらいだーてんぷらきっず,ramriderxtempurakidz,http://ramrider.com/,
167,LAMP IN TERREN,らんぷいんてれん,lampinterren,http://www.lampinterren.com/,
168,LiSA,りさ,lisa,http://www.lxixsxa.com/,
169,RIP SLYME,りっぷすらいむ,ripslyme,http://www.ripslyme.com/,
170,luki,るき,luki,http://lukirock.com/,
171,0.8秒と衝撃。,れいてんはちびょうとしょうげき,08byoutosyogeki,http://syooogeki.com/,
172,LEGO BIG MORL,れごびっぐもーる,legobigmorl,https://www.legobigmorl.jp/,
173,locofrank,ろこふらんく,locofrank,http://www.773four.com/bands/locofrank/,
174,ROTTENGRAFFTY,ろっとんぐらふてぃー,rottengraffty,http://rotten-g.com/,
175,忘れらんねえよ,わすれらんねえよ,wasureranneyo,http://www.office-augusta.com/wasureranneyo/,
176,ONE OK ROCK,わんおくろっく,oneokrock,http://www.oneokrock.com/,
177,【ASTRO SPECIAL】井上苑子,【ASTRO SPECIAL】いのうえそのこ,inouesonoko,,
178,【ASTRO SPECIAL】植田真梨恵,【ASTRO SPECIAL】うえだまりえ,uedamarie,,
179,【ASTRO SPECIAL】片平里菜,【ASTRO SPECIAL】かたひらりな,katahirarina,,
180,【ASTRO SPECIAL】Saku,【ASTRO SPECIAL】さく,saku,,
181,【ASTRO SPECIAL】住岡梨奈,【ASTRO SPECIAL】すみおかりな,sumiokarina,,
182,【ASTRO SPECIAL】新山詩織,【ASTRO SPECIAL】にいやましおり,niiyamashiori,,
183,【ASTRO SPECIAL】見田村千晴,【ASTRO SPECIAL】みたむらちはる,mitamurachiharu,,
184,【ASTRO SPECIAL】山崎あおい,【ASTRO SPECIAL】やまざきあおい,yamazakiaoi,,
500,【ASTRO SPECIAL】住岡梨奈/見田村千晴/山崎あおい/片平里菜,,assemble_1229,,
501,【ASTRO SPECIAL】井上苑子/新山詩織/Saku/植田真梨恵,,assemble_1231,,
